Date,Open,High,Low,Close,Volume
02/01/2015 16:00:00,27.85,27.86,26.84,27.33,53204626
05/01/2015 16:00:00,27.07,27.16,26.35,26.56,64285491
06/01/2015 16:00:00,26.64,26.86,26.16,26.57,65797116
07/01/2015 16:00:00,26.8,27.05,26.67,26.94,40105934
08/01/2015 16:00:00,27.31,28.04,27.18,27.97,59364547
09/01/2015 16:00:00,28.17,28.31,27.55,28,53699527
12/01/2015 16:00:00,28.15,28.16,27.2,27.31,49650790
13/01/2015 16:00:00,27.86,28.2,27.23,27.56,67091928
14/01/2015 16:00:00,27.26,27.62,27.13,27.45,48956588
15/01/2015 16:00:00,27.5,27.52,26.67,26.71,60013996
16/01/2015 16:00:00,26.76,26.9,26.3,26.5,78513345
20/01/2015 16:00:00,26.96,27.24,26.63,27.18,49899907
21/01/2015 16:00:00,27.24,27.77,27.07,27.39,48575897
22/01/2015 16:00:00,27.57,28.12,27.43,28.1,53796409
23/01/2015 16:00:00,28.08,28.44,27.88,28.25,46464828
26/01/2015 16:00:00,28.44,28.59,28.2,28.28,55614979
27/01/2015 16:00:00,28.11,28.12,27.26,27.29,95568749
28/01/2015 16:00:00,29.41,29.53,28.83,28.83,146477063
29/01/2015 16:00:00,29.08,29.8,28.89,29.73,84436432
30/01/2015 16:00:00,29.6,30,29.21,29.29,83745461
02/02/2015 16:00:00,29.51,29.79,29.02,29.66,62739100
03/02/2015 16:00:00,29.63,29.77,29.4,29.66,51915749
04/02/2015 16:00:00,29.63,30.13,29.58,29.89,70149743
05/02/2015 16:00:00,30.01,30.06,29.81,29.99,42246245
06/02/2015 16:00:00,30.01,30.06,29.61,29.73,43706567
09/02/2015 16:00:00,29.64,29.96,29.61,29.93,38889797
10/02/2015 16:00:00,30.04,30.54,30.04,30.51,62008506
11/02/2015 16:00:00,30.69,31.23,30.63,31.22,73561797
12/02/2015 16:00:00,31.52,31.87,31.39,31.62,74474466
13/02/2015 16:00:00,31.82,31.82,31.41,31.77,54272219
17/02/2015 16:00:00,31.85,32.22,31.73,31.96,63152405
18/02/2015 16:00:00,31.91,32.2,31.86,32.18,44891737
19/02/2015 16:00:00,32.12,32.26,32.08,32.11,37362381
20/02/2015 16:00:00,32.16,32.38,32.01,32.37,48948419
23/02/2015 16:00:00,32.51,33.25,32.42,33.25,70974110
24/02/2015 16:00:00,33.24,33.4,32.79,33.04,69228130
25/02/2015 16:00:00,32.89,32.9,32.04,32.2,74711746
26/02/2015 16:00:00,32.2,32.72,31.65,32.6,91287529
27/02/2015 16:00:00,32.5,32.64,32.06,32.12,62014847
02/03/2015 16:00:00,32.31,32.57,32.08,32.27,48096663
03/03/2015 16:00:00,32.24,32.38,32.02,32.34,37816283
04/03/2015 16:00:00,32.28,32.39,32.08,32.14,31666340
05/03/2015 16:00:00,32.15,32.19,31.44,31.6,56517146
06/03/2015 16:00:00,32.1,32.34,31.57,31.65,72842060
09/03/2015 16:00:00,31.99,32.39,31.27,31.79,88528487
10/03/2015 16:00:00,31.6,31.81,30.95,31.13,68856582
11/03/2015 16:00:00,31.19,31.19,30.53,30.56,68938974
12/03/2015 16:00:00,30.58,31.23,30.41,31.11,48362719
13/03/2015 16:00:00,31.1,31.35,30.65,30.9,51827283
16/03/2015 16:00:00,30.97,31.24,30.72,31.24,35874300
17/03/2015 16:00:00,31.48,31.83,31.41,31.76,51023104
18/03/2015 16:00:00,31.75,32.29,31.59,32.12,65270945
19/03/2015 16:00:00,32.19,32.31,31.85,31.87,45809490
20/03/2015 16:00:00,32.06,32.1,31.29,31.48,68695136
23/03/2015 16:00:00,31.78,31.96,31.63,31.8,37709674
